ID,VALOR,OBJECTID,SHAPEAREA,SHAPELEN
1,Alta,1,22.0540420594679,52.2948577656721
2,Intermedia,2,3.65473210454824,20.3307255829739
2,Intermedia,3,14.1161238015515,19.228617390366
2,Intermedia,4,1.7813511868596,10.8968760278164
3,Baja,5,46.6251385239343,45.5705826604879
3,Baja,6,4.29628352477233,12.7292615674672
